epochs,loss,rewards,time,steps
1.2667,0.0383,4764.2334,10.6153,5
1.6,0.0366,3935.9009,19.778,10
1.9333,0.0406,4738.562,30.2582,15
2.2667,0.0369,4751.0649,41.4903,20
2.6,0.0375,4434.6963,51.0524,25
2.9333,0.0398,4049.7056,60.2251,30
3.2667,0.0373,3481.1509,68.7364,35
3.6,0.0333,4493.083,79.1257,40
3.9333,0.0369,4502.9639,89.0889,45
4.2667,0.0375,4744.8335,99.0393,50
4.6,0.0356,4114.084,108.3305,55
4.9333,0.0346,4089.5649,117.766,60
5.2667,0.0366,4772.0713,128.5506,65
5.6,0.0386,3975.3535,137.8759,70
5.9333,0.0383,4633.8936,149.1502,75
6.2667,0.0378,4766.7241,159.2347,80
6.6,0.0379,4765.8315,169.3019,85
6.9333,0.0389,4588.5928,179.0157,90
7.2667,0.0471,4757.9419,189.0342,95
7.6,0.0361,4394.6157,199.3195,100
7.9333,0.0348,4484.9556,209.0559,105
8.2667,0.0359,3953.4336,218.5987,110
8.6,0.0392,4751.8369,229.5527,115
8.9333,0.0381,4734.0244,239.6055,120
9.2667,0.0388,4750.0327,250.1401,125
9.6,0.0365,4044.5737,259.5846,130
9.9333,0.0363,4787.7202,270.1035,135
10.2667,0.0378,4731.4482,280.1446,140
10.6,0.0356,4778.0439,291.1501,145
10.9333,0.0388,4761.8784,301.3064,150
11.2667,0.0367,4739.7568,312.5974,155
11.6,0.037,4738.6763,322.7402,160
11.9333,0.0376,4605.0166,333.8036,165
12.2667,0.0379,3860.7456,342.5683,170
12.6,0.0413,4038.8132,352.3312,175
12.9333,0.0362,4759.1172,362.4729,180
13.2667,0.0367,4065.1187,371.8107,185
13.6,0.033,3968.905,380.697,190
13.9333,0.0376,4502.8271,390.6822,195
14.2667,0.0378,4753.4102,400.8589,200
14.6,0.0383,4765.9385,411.68,205
14.9333,0.04,4774.1865,423.5381,210
15.2667,0.0363,4794.9829,433.5403,215
15.6,0.0367,4782.4814,443.5118,220
15.9333,0.0352,4750.1733,454.1981,225
16.2667,0.0387,4775.7334,465.4824,230
16.6,0.037,4017.7681,474.9488,235
16.9333,0.0395,4775.8447,486.0685,240
17.2667,0.0356,4797.1499,496.619,245
17.6,0.0375,4411.9141,506.3677,250
17.9333,0.0357,4759.0645,516.4264,255
18.2667,0.0373,4044.1665,526.0728,260
18.6,0.0402,4005.0513,534.94,265
18.9333,0.0367,4659.8896,545.7402,270
19.2667,0.0368,4648.4072,556.1739,275
19.6,0.0408,4798.3076,566.3527,280
