loss,steps,rewards,time,epochs
0.1121,705,-131.9352,1504.3275,47.9333
0.1271,710,-137.8982,1516.8427,48.2667
0.1164,715,-133.3473,1528.3376,48.6
0.1217,720,-131.1727,1539.2754,48.9333
0.121,725,-123.4006,1550.4239,49.2667
0.1044,730,-128.9682,1560.8592,49.6
0.1061,735,-134.1801,1570.6481,49.9333
0.1072,740,-128.8897,1581.7368,50.2667
0.1104,745,-100.8413,1592.1776,50.6
0.1064,750,-128.5616,1603.5505,50.9333
0.109,755,-101.2845,1613.3698,51.2667
0.1114,760,-117.8748,1624.6267,51.6
0.117,765,-138.1646,1636.0568,51.9333
0.107,770,-132.3802,1646.2623,52.2667
0.121,775,-126.7234,1659.0926,52.6
0.1214,780,-125.4622,1670.0619,52.9333
0.11,785,-134.6494,1680.387,53.2667
0.1135,790,-126.4211,1693.0321,53.6
0.12,795,-130.6079,1703.4152,53.9333
0.1204,800,-140.4677,1714.5346,54.2667
0.0994,805,-130.2599,1725.0037,54.6
0.1226,810,-129.9085,1735.736,54.9333
0.1185,815,-122.8873,1747.1808,55.2667
0.1156,820,-127.8679,1757.9036,55.6
0.1032,825,-130.1964,1767.985,55.9333
0.1112,830,-118.9868,1778.1022,56.2667
0.1295,835,-132.6234,1788.741,56.6
0.1103,840,-123.7419,1799.2212,56.9333
0.1148,845,-132.6665,1810.0385,57.2667
0.1061,850,-130.0212,1820.9318,57.6
0.0987,855,-126.6269,1831.2262,57.9333
0.1236,860,-119.4133,1841.5909,58.2667
0.1163,865,-135.4933,1852.7687,58.6
0.1055,870,-132.3641,1863.4415,58.9333
0.1034,875,-132.6377,1873.2709,59.2667
0.1181,880,-131.9234,1885.0675,59.6
0.1222,885,-134.2409,1895.0738,59.9333
0.1055,890,-116.6636,1905.2666,60.2667
0.1172,895,-133.5542,1915.2978,60.6
0.1253,900,-142.1123,1925.5055,60.9333
0.1218,905,-134.4935,1936.9263,61.2667
0.1119,910,-140.7584,1947.2673,61.6
0.1188,915,-134.4412,1958.2319,61.9333
0.1049,920,-134.2697,1969.1068,62.2667
0.1045,925,-136.2108,1979.2713,62.6
0.1021,930,-126.0947,1990.3105,62.9333
0.117,935,-128.9626,2000.018,63.2667
0.1046,940,-129.1875,2010.1638,63.6
0.1141,945,-132.2609,2020.8668,63.9333
0.1205,950,-127.9629,2031.0594,64.2667
0.1159,955,-139.8809,2041.0414,64.6
0.1022,960,-116.1282,2051.4692,64.9333
0.1413,965,-127.0879,2061.7538,65.2667
0.1098,970,-114.5344,2073.0269,65.6
0.1046,975,-126.248,2083.0871,65.9333
0.1031,980,-133.1203,2092.7927,66.2667
0.0967,985,-130.971,2103.7987,66.6
0.1164,990,-135.6389,2114.778,66.9333
0.1144,995,-131.1252,2126.6731,67.2667
0.104,1000,-142.1054,2137.8568,67.6
0.1016,1005,-129.9468,2148.4421,67.9333
0.1019,1010,-128.6099,2158.592,68.2667
0.1061,1015,-130.0207,2169.7165,68.6
0.1055,1020,-123.2389,2180.9791,68.9333
0.0991,1025,-131.9452,2191.1466,69.2667
0.1013,1030,-132.576,2202.0567,69.6
0.1048,1035,-125.0734,2211.8922,69.9333
0.1069,1040,-127.4928,2221.5433,70.2667
0.1207,1045,-134.7439,2231.76,70.6
0.1021,1050,-131.3219,2242.5303,70.9333
0.0993,1055,-136.2282,2253.1082,71.2667
0.1077,1060,-134.9273,2263.4387,71.6
0.1014,1065,-139.3778,2273.8772,71.9333
0.0984,1070,-128.3583,2284.486,72.2667
0.1029,1075,-132.5997,2294.634,72.6
0.1015,1080,-131.0891,2304.3822,72.9333
0.1025,1085,-142.9206,2316.2563,73.2667
0.1024,1090,-142.2187,2328.241,73.6
0.0968,1095,-132.9346,2339.6939,73.9333
0.094,1100,-142.3872,2350.1702,74.2667
0.1016,1105,-134.7691,2361.5582,74.6
0.1036,1110,-134.6618,2372.8029,74.9333
0.1018,1115,-135.0492,2383.4402,75.2667
0.1034,1120,-131.0058,2393.6627,75.6
0.1166,1125,-136.2866,2405.8274,75.9333
0.1119,1130,-133.8478,2416.607,76.2667
0.1043,1135,-134.324,2427.3461,76.6
0.0984,1140,-135.8043,2438.1656,76.9333
0.0962,1145,-139.1459,2448.295,77.2667
0.1048,1150,-137.784,2457.9769,77.6
0.0989,1155,-132.786,2471.0227,77.9333
0.1089,1160,-136.3422,2483.6452,78.2667
0.1061,1165,-137.0089,2493.6135,78.6
0.1039,1170,-129.5471,2505.0083,78.9333
0.1218,1175,-136.0625,2515.695,79.2667
0.1069,1180,-126.8133,2525.4161,79.6
0.0978,1185,-129.8734,2536.8104,79.9333
0.1057,1190,-138.5244,2548.1472,80.2667
0.0998,1195,-135.2939,2558.0936,80.6
0.1106,1200,-133.0459,2569.3022,80.9333
0.1091,1205,-137.2636,2579.0136,81.2667
0.107,1210,-133.5284,2589.1242,81.6
0.1016,1215,-135.478,2599.5732,81.9333
0.112,1220,-133.5157,2611.7413,82.2667
0.0964,1225,-135.8845,2622.0045,82.6
0.0995,1230,-131.3929,2632.5945,82.9333
0.1004,1235,-130.1887,2643.646,83.2667
0.0996,1240,-121.3356,2653.4311,83.6
0.0952,1245,-133.5904,2663.3831,83.9333
0.1117,1250,-129.6105,2673.8444,84.2667
0.1065,1255,-117.3016,2684.62,84.6
0.1007,1260,-120.6092,2695.0512,84.9333
0.11,1265,-123.3114,2706.0523,85.2667
0.1093,1270,-133.4411,2717.1716,85.6
0.1162,1275,-138.8775,2727.414,85.9333
0.0983,1280,-126.6514,2737.5218,86.2667
0.0963,1285,-127.9812,2748.2944,86.6
0.1143,1290,-131.6308,2758.357,86.9333
0.0961,1295,-130.1426,2769.2419,87.2667
0.1069,1300,-135.1637,2779.8265,87.6
0.1258,1305,-132.667,2790.9705,87.9333
0.1153,1310,-135.053,2802.1386,88.2667
0.1059,1315,-130.386,2812.992,88.6
0.1056,1320,-127.8997,2823.6972,88.9333
0.099,1325,-128.2696,2835.4396,89.2667
0.0929,1330,-111.7777,2845.6199,89.6
0.112,1335,-129.3683,2855.7199,89.9333
0.0995,1340,-122.7345,2866.8487,90.2667
0.0981,1345,-126.4216,2876.9425,90.6
0.1062,1350,-127.6248,2887.7595,90.9333
0.0937,1355,-132.5551,2898.2779,91.2667
0.0976,1360,-131.7761,2908.8999,91.6
0.0915,1365,-119.5411,2920.0781,91.9333
0.1015,1370,-127.9649,2929.8293,92.2667
0.0958,1375,-127.4575,2940.2637,92.6
0.0879,1380,-135.2159,2951.4158,92.9333
0.1032,1385,-141.2241,2963.2585,93.2667
0.1178,1390,-133.201,2972.9656,93.6
0.107,1395,-126.8303,2983.0962,93.9333
0.1083,1400,-132.2006,2992.8485,94.2667
0.0935,1405,-126.0368,3004.8332,94.6
0.1004,1410,-133.7686,3015.5857,94.9333
0.0972,1415,-119.533,3025.7254,95.2667
0.1183,1420,-137.753,3036.9291,95.6
0.0988,1425,-125.5655,3047.1063,95.9333
0.0931,1430,-130.2711,3057.4072,96.2667
0.1064,1435,-123.3868,3068.6306,96.6
0.0919,1440,-137.2474,3079.9001,96.9333
0.0903,1445,-101.3235,3091.1056,97.2667
0.1023,1450,-129.8512,3102.7644,97.6
0.0928,1455,-134.9525,3112.8545,97.9333
0.0937,1460,-127.6962,3122.5762,98.2667
0.1017,1465,-123.6924,3133.4157,98.6
0.1003,1470,-115.937,3143.1969,98.9333
0.1083,1475,-124.6906,3153.4496,99.2667
0.1041,1480,-124.3775,3163.3317,99.6
0.1004,1485,-125.636,3173.6582,99.9333
0.0933,1490,-115.9545,3184.0342,100.2667
0.1117,1495,-121.0884,3194.9303,100.6
0.0963,1500,-127.3312,3205.9708,100.9333
