epochs,loss,rewards,time,steps
1.2667,0.99,-101.7408,10.3946,5
1.6,0.9714,-100.2915,21.1869,10
1.9333,0.968,-99.9222,31.2756,15
2.2667,0.9588,-97.4759,41.8119,20
2.6,0.9323,-87.3489,52.4656,25
2.9333,0.9156,-92.0288,63.2667,30
3.2667,0.8849,-90.3994,73.943,35
3.6,0.8621,-84.5418,83.9301,40
3.9333,0.8226,-81.7605,94.6381,45
4.2667,0.7996,-77.4965,104.9614,50
4.6,0.7406,-75.4259,115.9592,55
4.9333,0.7003,-70.4715,127.6287,60
5.2667,0.6557,-64.9543,137.8806,65
5.6,0.6138,-63.6102,148.3871,70
5.9333,0.5717,-55.4187,159.9403,75
6.2667,0.5204,-47.6365,169.8975,80
6.6,0.4612,-44.281,181.3573,85
6.9333,0.4166,-38.4433,192.857,90
7.2667,0.3572,-38.0121,204.0729,95
7.6,0.3309,-39.5515,215.1514,100
7.9333,0.274,-43.824,227.0611,105
8.2667,0.2327,-48.6765,238.4154,110
8.6,0.2197,-52.3825,250.8099,115
8.9333,0.1919,-55.0018,263.3907,120
9.2667,0.1586,-53.7851,274.7623,125
9.6,0.1411,-52.1903,285.9125,130
9.9333,0.1401,-49.1076,296.5043,135
10.2667,0.1305,-42.2644,307.3831,140
10.6,0.1326,-38.3611,317.4975,145
10.9333,0.1015,-40.94,327.611,150
11.2667,0.103,-46.7014,337.8867,155
11.6,0.1067,-53.3624,348.1982,160
11.9333,0.1056,-65.9195,358.2912,165
12.2667,0.0958,-71.1773,368.6868,170
12.6,0.1094,-78.2647,378.8703,175
12.9333,0.0851,-82.4782,388.9746,180
13.2667,0.0977,-81.3752,399.9018,185
13.6,0.0997,-91.0825,409.8273,190
13.9333,0.0905,-96.8102,420.5711,195
14.2667,0.088,-96.7712,430.6236,200
14.6,0.0895,-98.0722,441.2823,205
14.9333,0.0905,-95.9911,452.0189,210
15.2667,0.078,-117.1964,462.1116,215
15.6,0.0907,-108.388,472.1652,220
15.9333,0.0872,-100.8375,481.9222,225
16.2667,0.092,-104.1924,492.4024,230
16.6,0.0786,-16.7824,502.3414,235
16.9333,0.0806,-98.3323,512.4885,240
17.2667,0.0782,-90.8998,522.6856,245
17.6,0.07,-109.5134,532.5838,250
17.9333,0.0879,3.0708,542.5785,255
18.2667,0.0717,-18.8184,552.4225,260
18.6,0.0683,-104.9696,563.6071,265
