loss,steps,rewards,time,epochs
0.0414,700,2013.9075,1511.304,47.6
0.0428,705,3285.2109,1521.6789,47.9333
0.0367,710,2061.1218,1532.4286,48.2667
0.035,715,2719.8879,1544.3579,48.6
0.0411,720,4194.4512,1554.5756,48.9333
0.0374,725,3183.8982,1564.8151,49.2667
0.0404,730,3370.3062,1575.0246,49.6
0.037,735,3296.6602,1585.2696,49.9333
0.0367,740,2731.001,1595.4161,50.2667
0.0372,745,4529.0146,1605.2811,50.6
0.04,750,3132.3376,1615.9818,50.9333
0.0451,755,1893.6003,1626.2122,51.2667
0.038,760,1661.9781,1636.8482,51.6
0.048,765,3288.9075,1647.0746,51.9333
0.0412,770,920.0073,1657.4626,52.2667
0.0411,775,1586.7659,1668.1274,52.6
0.0402,780,2129.6543,1678.7181,52.9333
0.0424,785,3259.2148,1688.6408,53.2667
0.0404,790,3405.2336,1699.2033,53.6
0.0388,795,4075.8113,1710.8296,53.9333
0.0374,800,3596.6008,1721.2536,54.2667
0.0392,805,3838.4617,1731.0635,54.6
0.0346,810,3065.8525,1741.811,54.9333
0.0391,815,2937.9617,1752.7506,55.2667
0.0364,820,2301.5935,1762.9857,55.6
0.0351,825,3031.2495,1773.4242,55.9333
0.0377,830,1492.5446,1784.1967,56.2667
0.0418,835,2950.3987,1794.45,56.6
0.0364,840,2931.2961,1805.4685,56.9333
0.0371,845,1074.9773,1816.9828,57.2667
0.0404,850,3280.1382,1827.5184,57.6
0.0453,855,2591.4507,1838.5125,57.9333
0.0385,860,1828.2445,1849.461,58.2667
0.0393,865,1570.5198,1860.8059,58.6
0.0381,870,1810.6008,1871.5823,58.9333
0.0378,875,2434.6899,1882.0198,59.2667
0.0405,880,2260.0798,1892.6318,59.6
0.0373,885,2312.8628,1903.0894,59.9333
0.0367,890,2422.7832,1914.202,60.2667
0.0357,895,1194.9299,1925.4163,60.6
0.0369,900,2455.8418,1937.1747,60.9333
0.0359,905,2954.7417,1948.2058,61.2667
0.0352,910,1486.7458,1958.5864,61.6
0.0359,915,2753.8628,1968.809,61.9333
0.0351,920,3607.9407,1979.8861,62.2667
0.0415,925,4433.8374,1991.7674,62.6
0.0334,930,2712.26,2003.8884,62.9333
0.0437,935,3518.1543,2015.2473,63.2667
0.0397,940,2526.4771,2026.761,63.6
0.0364,945,2023.3027,2039.1426,63.9333
0.042,950,2779.1797,2051.4133,64.2667
0.0361,955,2951.1838,2063.048,64.6
0.0398,960,2914.4253,2075.3515,64.9333
0.0398,965,1514.6055,2086.2391,65.2667
0.0458,970,3249.0884,2097.7235,65.6
0.0364,975,1302.7141,2109.3377,65.9333
0.0361,980,2130.2805,2119.9498,66.2667
0.0373,985,2018.7949,2132.2452,66.6
0.037,990,2273.2039,2143.8271,66.9333
0.0439,995,2265.7549,2155.3943,67.2667
0.0383,1000,1464.9132,2167.4118,67.6
0.0356,1005,2557.9131,2179.6732,67.9333
0.0349,1010,2551.1296,2191.0429,68.2667
0.0341,1015,3163.0249,2202.3537,68.6
0.0356,1020,3050.7852,2213.5235,68.9333
0.0344,1025,3435.1445,2225.8422,69.2667
0.045,1030,2614.2739,2238.2903,69.6
0.0356,1035,2693.9946,2249.1456,69.9333
0.0411,1040,2232.4331,2260.4695,70.2667
0.0342,1045,2266.0396,2271.28,70.6
0.0369,1050,2989.2859,2283.8742,70.9333
0.0453,1055,1439.9407,2294.6871,71.2667
0.0366,1060,3372.5532,2307.2848,71.6
0.0398,1065,2579.2759,2318.8719,71.9333
0.0431,1070,3666.5149,2329.5302,72.2667
0.037,1075,3063.374,2340.4546,72.6
0.0391,1080,2783.6418,2351.0802,72.9333
0.0424,1085,2780.6262,2363.5515,73.2667
0.0431,1090,2003.2871,2374.2806,73.6
0.0369,1095,1880.8357,2385.4705,73.9333
0.0404,1100,2564.8796,2396.9093,74.2667
0.0384,1105,1096.1124,2407.6864,74.6
0.0359,1110,1852.8756,2418.651,74.9333
0.0351,1115,2973.0266,2431.5538,75.2667
0.0371,1120,3067.9941,2444.1711,75.6
0.0353,1125,2724.9836,2455.4075,75.9333
0.0376,1130,4612.7305,2466.7476,76.2667
0.0405,1135,4152.124,2478.6321,76.6
0.041,1140,2373.2622,2491.0518,76.9333
0.0445,1145,3277.5718,2502.2998,77.2667
0.0372,1150,4484.9238,2514.7732,77.6
0.0324,1155,3240.8425,2525.7594,77.9333
0.0385,1160,2872.9043,2536.9002,78.2667
0.0384,1165,2743.1892,2549.2883,78.6
0.0408,1170,1653.5061,2561.0637,78.9333
0.04,1175,2426.0364,2571.7321,79.2667
0.0454,1180,3652.7742,2583.6383,79.6
0.0342,1185,3562.834,2596.3482,79.9333
0.0399,1190,3607.2905,2607.4305,80.2667
0.0386,1195,2325.405,2618.8719,80.6
0.0389,1200,1458.2708,2630.0247,80.9333
0.0397,1205,3488.6594,2641.4961,81.2667
0.0465,1210,4318.48,2653.3943,81.6
0.037,1215,2901.5388,2665.0759,81.9333
0.0367,1220,4861.1235,2676.4774,82.2667
0.0353,1225,4808.3799,2687.5292,82.6
0.0398,1230,2577.5085,2699.3816,82.9333
0.0413,1235,3712.1414,2710.4365,83.2667
0.0356,1240,2483.0991,2721.7763,83.6
0.0421,1245,2520.4819,2734.1139,83.9333
0.0391,1250,3505.1992,2745.9496,84.2667
0.0368,1255,1920.3379,2756.2263,84.6
0.0367,1260,3067.9285,2767.5816,84.9333
0.0418,1265,5805.7256,2780.054,85.2667
0.039,1270,3098.7788,2792.3974,85.6
0.0355,1275,1123.5576,2806.4054,85.9333
0.035,1280,3006.4919,2816.6942,86.2667
0.0396,1285,2402.1611,2828.8424,86.6
0.0331,1290,2146.3354,2840.8818,86.9333
0.0419,1295,2656.1711,2851.5002,87.2667
0.0378,1300,1811.4465,2861.8752,87.6
0.0359,1305,1074.2029,2873.3519,87.9333
0.0371,1310,1144.4839,2885.0454,88.2667
0.0404,1315,3394.5503,2896.2337,88.6
0.0348,1320,2455.8765,2908.9348,88.9333
0.0404,1325,3035.0327,2919.8696,89.2667
0.0381,1330,1617.2148,2931.1879,89.6
0.0451,1335,2105.5688,2941.5227,89.9333
0.042,1340,1773.8596,2953.1661,90.2667
0.0376,1345,1928.3207,2965.5225,90.6
0.0386,1350,1989.6361,2976.2071,90.9333
0.0404,1355,3763.5469,2988.4528,91.2667
0.0371,1360,2687.6074,3000.1163,91.6
0.0365,1365,3455.1187,3010.9332,91.9333
0.0385,1370,1897.0305,3023.4072,92.2667
0.037,1375,3120.9856,3033.2524,92.6
0.0401,1380,2128.0378,3043.9622,92.9333
0.0357,1385,4030.1562,3055.0767,93.2667
0.0386,1390,3570.9832,3065.3223,93.6
0.0402,1395,3248.6023,3075.7015,93.9333
0.036,1400,1529.524,3087.7055,94.2667
0.0414,1405,2209.3882,3099.9544,94.6
0.0375,1410,1437.6198,3111.5062,94.9333
0.0392,1415,1709.6699,3123.7826,95.2667
0.0373,1420,2882.2297,3136.0846,95.6
0.0338,1425,1555.1755,3147.92,95.9333
0.0472,1430,1298.9597,3158.6805,96.2667
0.037,1435,1738.2644,3170.0899,96.6
0.0364,1440,2051.2361,3180.9,96.9333
0.0385,1445,4075.8184,3192.5439,97.2667
0.0451,1450,1889.7249,3202.7804,97.6
0.0346,1455,2174.2498,3214.2985,97.9333
0.0399,1460,2187.7468,3225.7986,98.2667
0.0399,1465,1760.8098,3238.0829,98.6
0.0324,1470,1129.2419,3251.0716,98.9333
0.0444,1475,2643.8269,3263.0126,99.2667
0.0383,1480,2918.323,3273.727,99.6
0.0417,1485,4296.1299,3286.4554,99.9333
0.036,1490,4102.9956,3296.9279,100.2667
0.0368,1495,2144.1206,3308.5526,100.6
0.0371,1500,4239.1152,3320.0567,100.9333
