epochs,loss,rewards,time,steps
1.2667,0.9807,-2.8284,2.5372,5
1.6,0.963,-2.9216,4.9956,10
1.9333,0.9486,-2.4402,7.4429,15
2.2667,0.9428,-2.6097,9.935,20
2.6,0.8777,-2.2852,12.38,25
2.9333,0.8781,-2.3443,14.867,30
3.2667,0.8838,-2.3127,17.3394,35
3.6,0.8583,-2.2092,19.8009,40
3.9333,0.795,-2.2623,22.2477,45
4.2667,0.8136,-1.9879,24.7193,50
4.6,0.7315,-1.8895,27.1975,55
4.9333,0.6903,-1.7163,29.7009,60
5.2667,0.6437,-1.6182,32.1902,65
5.6,0.6423,-1.3538,34.7379,70
5.9333,0.5265,-1.1639,37.2228,75
6.2667,0.4952,-0.7726,39.7023,80
6.6,0.47,-0.9147,42.1734,85
6.9333,0.394,-0.6127,44.6831,90
7.2667,0.3369,-0.2538,47.1996,95
7.6,0.3175,-0.294,49.7379,100
7.9333,0.2901,-0.7652,52.2896,105
8.2667,0.2393,-4.7765,54.9199,110
8.6,0.2195,-7.246,57.6372,115
8.9333,0.2124,-13.2671,60.4294,120
9.2667,0.1809,-19.0063,63.3626,125
9.6,0.1734,-31.6987,66.4189,130
9.9333,0.1751,-32.6908,69.4718,135
10.2667,0.1657,-29.8934,72.4408,140
10.6,0.1651,-29.8552,75.4192,145
10.9333,0.1479,-36.3093,78.6476,150
11.2667,0.1264,-10.7523,81.8601,155
11.6,0.12,83.18,85.3998,160
11.9333,0.1184,103.9543,89.0932,165
12.2667,0.1156,253.0113,93.3613,170
12.6,0.1072,451.144,97.7859,175
12.9333,0.1056,460.6258,102.1375,180
13.2667,0.1042,445.8566,106.6549,185
13.6,0.1034,479.9963,111.1955,190
13.9333,0.0961,434.7639,115.4078,195
14.2667,0.0959,448.4954,119.7767,200
14.6,0.0879,386.3831,124.13,205
14.9333,0.1015,348.5109,128.7142,210
15.2667,0.0957,327.7155,133.1028,215
15.6,0.093,374.6216,137.8666,220
15.9333,0.0827,133.5311,142.1343,225
16.2667,0.0788,280.9989,146.6238,230
16.6,0.0813,277.712,151.1033,235
16.9333,0.0823,129.8922,155.3391,240
17.2667,0.0819,275.4183,159.7679,245
17.6,0.0878,92.0384,163.7586,250
17.9333,0.0767,112.5322,168.0081,255
18.2667,0.078,110.8788,172.225,260
18.6,0.072,80.7888,176.253,265
18.9333,0.0678,86.2276,180.2098,270
19.2667,0.0682,137.9611,184.6214,275
19.6,0.0816,96.236,188.7447,280
19.9333,0.0679,87.6169,192.6225,285
20.2667,0.0688,90.2767,196.5949,290
20.6,0.0687,95.9772,200.5694,295
20.9333,0.061,112.9793,204.5,300
21.2667,0.0646,119.6536,208.4923,305
21.6,0.0649,122.3567,212.509,310
21.9333,0.0697,111.4145,216.3475,315
22.2667,0.0624,118.6874,220.2745,320
22.6,0.058,116.1311,224.0905,325
22.9333,0.0739,116.6819,228.0551,330
23.2667,0.0614,123.0014,231.9271,335
23.6,0.0627,121.0342,235.7374,340
23.9333,0.0655,115.4426,239.4422,345
24.2667,0.0593,110.7478,243.1724,350
24.6,0.0577,113.3744,247.0302,355
24.9333,0.0579,108.7669,250.6621,360
