time,epochs,loss,steps,rewards
1633.7625,48.9333,0.0473,720,445.3692
1646.7857,49.2667,0.0496,725,1668.3271
1660.4372,49.6,0.0516,730,264.3235
1673.7931,49.9333,0.0475,735,1205.4197
1689.2315,50.2667,0.0461,740,758.5226
1704.1315,50.6,0.0476,745,403.015
1718.4466,50.9333,0.041,750,405.8929
1731.8972,51.2667,0.0499,755,655.9659
1747.613,51.6,0.0434,760,691.8727
1762.6378,51.9333,0.0438,765,868.5417
1776.9592,52.2667,0.0429,770,492.8091
1790.8749,52.6,0.0433,775,968.7363
1808.3434,52.9333,0.052,780,659.0855
1822.5957,53.2667,0.045,785,712.5812
1837.554,53.6,0.0423,790,949.2424
1852.0806,53.9333,0.0527,795,806.8496
1866.6954,54.2667,0.0484,800,912.5379
1877.9319,54.6,0.0469,805,579.1194
1894.0512,54.9333,0.0467,810,588.1015
1908.9146,55.2667,0.0409,815,1830.5192
1926.7126,55.6,0.0416,820,717.2871
1941.8154,55.9333,0.0424,825,1090.1191
1958.0111,56.2667,0.0429,830,1028.9962
1972.1671,56.6,0.0453,835,1319.8417
1987.3619,56.9333,0.0473,840,1017.5443
2003.0195,57.2667,0.0406,845,699.6562
2017.8315,57.6,0.0416,850,796.0717
2032.4227,57.9333,0.0394,855,1173.4988
2046.6172,58.2667,0.0446,860,1292.1055
2062.1066,58.6,0.0427,865,657.5646
2076.9581,58.9333,0.044,870,1346.0311
2092.9709,59.2667,0.0426,875,635.2175
2107.8237,59.6,0.045,880,1082.3123
2123.4668,59.9333,0.051,885,945.3633
2139.9368,60.2667,0.0419,890,537.2614
2156.0069,60.6,0.0397,895,781.2578
2169.0191,60.9333,0.0479,900,911.1071
2184.419,61.2667,0.0504,905,632.3964
2200.0989,61.6,0.0487,910,1018.1342
2217.1888,61.9333,0.0409,915,1199.7997
2232.4185,62.2667,0.0421,920,515.078
2246.7589,62.6,0.0421,925,602.4806
2259.4391,62.9333,0.0508,930,899.0361
2273.6935,63.2667,0.0425,935,1505.4863
2286.7525,63.6,0.0479,940,1048.207
2298.8879,63.9333,0.0392,945,1378.875
2311.1056,64.2667,0.0516,950,1718.031
2324.1579,64.6,0.0408,955,808.6651
2337.1679,64.9333,0.0415,960,1376.502
2349.8722,65.2667,0.0429,965,1081.0344
2361.3458,65.6,0.041,970,1443.5822
2373.5906,65.9333,0.0424,975,779.4006
2384.3621,66.2667,0.0388,980,817.5069
2395.2036,66.6,0.0475,985,1011.3582
2406.7395,66.9333,0.0443,990,1280.3557
2418.3453,67.2667,0.039,995,1315.5
2429.0684,67.6,0.0456,1000,959.2507
2439.674,67.9333,0.0381,1005,1183.6564
2450.5036,68.2667,0.0503,1010,1581.827
2461.3416,68.6,0.0423,1015,1328.2126
2472.6419,68.9333,0.0474,1020,1431.8259
2488.0716,69.2667,0.0502,1025,1577.4677
2500.0277,69.6,0.0414,1030,1741.5046
2511.6998,69.9333,0.0367,1035,781.4889
2523.9292,70.2667,0.0385,1040,1897.4486
2538.6966,70.6,0.0524,1045,1027.9636
2550.1942,70.9333,0.0424,1050,616.8996
2562.4934,71.2667,0.0433,1055,1456.9932
2574.7917,71.6,0.0495,1060,813.5234
2587.2475,71.9333,0.0384,1065,1196.1699
2598.9507,72.2667,0.0408,1070,662.196
2610.0089,72.6,0.0391,1075,1146.3682
2620.1595,72.9333,0.0454,1080,1518.9703
2630.539,73.2667,0.0425,1085,1008.5223
2640.9461,73.6,0.0421,1090,1400.85
2653.4816,73.9333,0.039,1095,1749.8278
2666.0666,74.2667,0.0422,1100,1259.5242
2677.2327,74.6,0.0397,1105,1503.8536
2688.9735,74.9333,0.0404,1110,1154.0039
2700.0851,75.2667,0.0409,1115,2644.189
2711.0384,75.6,0.0473,1120,766.6003
2721.5462,75.9333,0.0425,1125,1252.7299
2733.9814,76.2667,0.0405,1130,2612.7976
2744.4219,76.6,0.0365,1135,1597.845
2755.8556,76.9333,0.042,1140,1824.8217
2766.2785,77.2667,0.0372,1145,1352.6146
2777.8246,77.6,0.0447,1150,1330.8317
2788.7995,77.9333,0.0381,1155,1092.1147
2799.5506,78.2667,0.0413,1160,2331.4639
2809.7716,78.6,0.046,1165,1783.5999
2820.3522,78.9333,0.0466,1170,2262.9766
2831.063,79.2667,0.0463,1175,2030.0924
2841.151,79.6,0.0474,1180,1319.5265
2851.1258,79.9333,0.044,1185,1789.9799
2861.3584,80.2667,0.0379,1190,1139.3181
2871.864,80.6,0.0485,1195,1139.4877
2882.4103,80.9333,0.0406,1200,1126.3152
2893.6486,81.2667,0.056,1205,1934.932
2904.2175,81.6,0.039,1210,2273.9282
2915.3965,81.9333,0.0415,1215,3014.77
2925.7637,82.2667,0.0391,1220,1441.4276
2936.0556,82.6,0.0389,1225,1271.309
2946.2048,82.9333,0.0465,1230,781.6146
2956.4509,83.2667,0.042,1235,1592.3182
2967.2302,83.6,0.0411,1240,2269.4971
2977.4219,83.9333,0.0427,1245,1650.6742
2987.4701,84.2667,0.0417,1250,1712.8711
2999.1556,84.6,0.0445,1255,1656.5414
3009.3088,84.9333,0.0459,1260,2862.8213
