epochs,steps,loss,rewards,time
47.9333,705,0.0334,4650.2104,1385.3357
48.2667,710,0.0335,4381.8589,1394.8594
48.6,715,0.0335,4434.9595,1404.3585
48.9333,720,0.0366,4431.6895,1414.0
49.2667,725,0.0346,4573.8628,1423.9139
49.6,730,0.0393,4804.876,1434.1933
49.9333,735,0.0339,4037.2188,1443.1681
50.2667,740,0.0359,4548.4707,1452.9177
50.6,745,0.0373,4394.2236,1462.493
50.9333,750,0.033,4759.6479,1472.5186
51.2667,755,0.0362,4689.2354,1482.6954
51.6,760,0.0347,3433.9539,1490.7876
51.9333,765,0.0349,4501.4062,1500.4401
52.2667,770,0.0348,4262.6074,1509.6971
52.6,775,0.0341,4841.0322,1519.8951
52.9333,780,0.0295,4211.438,1529.4131
53.2667,785,0.0364,3459.0884,1537.5917
53.6,790,0.0343,4671.3286,1547.4488
53.9333,795,0.0343,4825.3965,1557.5729
54.2667,800,0.0369,4636.7407,1567.6284
54.6,805,0.0346,4452.2227,1577.2915
54.9333,810,0.0351,3720.6313,1585.843
55.2667,815,0.0371,3809.5093,1594.6579
55.6,820,0.0306,4802.9937,1604.795
55.9333,825,0.0352,4043.229,1613.7093
56.2667,830,0.0361,4685.8784,1623.8817
56.6,835,0.0334,4115.7363,1633.0988
56.9333,840,0.0335,3690.0151,1641.6775
57.2667,845,0.0336,4831.2236,1651.7656
57.6,850,0.0344,4220.8208,1661.051
57.9333,855,0.035,4826.4272,1671.1634
58.2667,860,0.0323,4829.1709,1681.2176
58.6,865,0.0329,4843.0337,1691.3343
58.9333,870,0.038,4245.6699,1700.8303
59.2667,875,0.0366,2147.2893,1706.9317
59.6,880,0.0424,3296.7285,1714.9407
59.9333,885,0.0387,4118.2842,1724.044
60.2667,890,0.0354,3390.5444,1732.0783
60.6,895,0.0367,4862.9844,1742.1819
60.9333,900,0.0325,4397.146,1751.6084
61.2667,905,0.0316,3782.4224,1760.2738
61.6,910,0.0334,4193.2954,1769.4863
61.9333,915,0.0375,4473.4185,1779.1544
62.2667,920,0.0336,3700.2383,1787.4619
62.6,925,0.046,4736.7603,1797.5039
62.9333,930,0.0341,4525.4131,1807.1166
63.2667,935,0.0354,4424.1562,1816.78
63.6,940,0.0312,4522.0151,1826.5053
63.9333,945,0.0366,3130.5435,1834.038
64.2667,950,0.0363,4023.8503,1843.001
64.6,955,0.0355,4796.7881,1853.1963
64.9333,960,0.037,4849.8442,1863.3603
65.2667,965,0.0371,3692.6855,1871.737
65.6,970,0.0365,4389.2812,1881.2467
65.9333,975,0.0359,4716.9653,1891.5634
66.2667,980,0.0362,4163.5698,1900.8445
66.6,985,0.0348,3859.3203,1909.6567
66.9333,990,0.0348,3912.5376,1918.348
67.2667,995,0.0345,4363.5869,1927.7737
67.6,1000,0.0378,4022.7844,1937.1074
67.9333,1005,0.0365,4836.3447,1947.309
68.2667,1010,0.0332,4735.7725,1957.267
68.6,1015,0.0328,4648.6021,1967.0601
68.9333,1020,0.0344,3506.0605,1975.2209
69.2667,1025,0.033,4347.2085,1984.7784
69.6,1030,0.0347,4120.1191,1994.0498
69.9333,1035,0.0356,4807.7412,2005.6222
70.2667,1040,0.035,3859.3706,2014.378
70.6,1045,0.0378,4562.3281,2024.2341
70.9333,1050,0.0334,3525.854,2032.4503
71.2667,1055,0.0328,4302.7178,2041.9035
71.6,1060,0.0361,4833.9199,2052.1752
71.9333,1065,0.0336,4841.6699,2062.5688
72.2667,1070,0.0347,4097.2349,2071.6088
72.6,1075,0.0306,4482.7388,2081.4836
72.9333,1080,0.0349,4648.5747,2091.5289
