epochs,steps,loss,rewards,time
50.6,745,0.0473,341.1786,587.6228
50.9333,750,0.047,328.486,591.9308
51.2667,755,0.0525,366.7476,596.0476
51.6,760,0.0494,361.196,600.0617
51.9333,765,0.0477,359.9684,604.1613
52.2667,770,0.0413,826.328,608.8404
52.6,775,0.042,402.5613,613.1915
52.9333,780,0.0444,352.0492,617.1142
53.2667,785,0.0449,345.9993,621.1421
53.6,790,0.0464,1729.676,627.0873
53.9333,795,0.0476,364.5098,631.3301
54.2667,800,0.0438,1433.8502,636.9213
54.6,805,0.042,346.2284,640.812
54.9333,810,0.0459,427.1699,644.8214
55.2667,815,0.0441,2204.5378,651.9472
55.6,820,0.0442,2203.5554,658.8746
55.9333,825,0.0494,3208.4087,667.2358
56.2667,830,0.0455,1009.2153,672.2171
56.6,835,0.0424,2460.1567,680.154
56.9333,840,0.0447,1147.3281,685.5317
57.2667,845,0.0481,1832.7471,692.8363
57.6,850,0.0434,1024.8838,698.9223
57.9333,855,0.041,1705.6956,704.9792
58.2667,860,0.044,402.8709,709.8622
58.6,865,0.042,2618.7883,717.5109
58.9333,870,0.0422,1695.9742,723.7919
59.2667,875,0.0427,2712.6851,731.6526
59.6,880,0.0434,3024.2285,740.8444
59.9333,885,0.0438,2744.668,750.1771
60.2667,890,0.0411,1458.2899,756.2539
60.6,895,0.0467,1638.7761,762.5899
60.9333,900,0.0391,408.2787,766.6777
61.2667,905,0.0434,1418.7854,772.4186
61.6,910,0.0497,2904.0356,780.3394
61.9333,915,0.0455,939.6774,785.1132
62.2667,920,0.0445,3665.8442,794.7803
62.6,925,0.043,2121.5405,801.4887
62.9333,930,0.0408,2810.3853,809.1493
63.2667,935,0.0432,1127.1327,814.5176
63.6,940,0.0436,2694.3855,822.4766
63.9333,945,0.046,3506.189,832.0658
64.2667,950,0.0423,311.0359,835.9559
64.6,955,0.0468,1787.1237,842.6069
64.9333,960,0.0414,2899.0991,850.4624
65.2667,965,0.0386,2281.1682,857.3285
65.6,970,0.0456,3383.5972,866.6147
65.9333,975,0.0364,2714.5769,875.0059
66.2667,980,0.0445,2322.2754,883.5565
66.6,985,0.041,3501.1987,894.9864
66.9333,990,0.0451,3543.5874,904.3364
67.2667,995,0.0415,2279.1775,911.5721
67.6,1000,0.0432,3736.9324,921.0499
67.9333,1005,0.0438,3339.0461,929.6736
68.2667,1010,0.0412,3214.7563,938.1553
68.6,1015,0.0412,2308.4985,945.3165
68.9333,1020,0.0421,2968.7285,953.3358
69.2667,1025,0.0407,3680.7141,962.7007
69.6,1030,0.0406,402.4491,966.6345
69.9333,1035,0.0404,3221.002,975.0689
70.2667,1040,0.0404,3829.1812,984.3798
70.6,1045,0.049,2250.7646,991.3357
70.9333,1050,0.0372,1635.4574,997.1814
71.2667,1055,0.0458,3173.4697,1005.5177
71.6,1060,0.0372,3201.4495,1013.6772
71.9333,1065,0.0412,3687.3647,1022.6897
72.2667,1070,0.0422,3917.9792,1032.2268
72.6,1075,0.0375,3418.0171,1041.8262
72.9333,1080,0.0445,4795.686,1053.6305
73.2667,1085,0.0479,3945.6001,1063.318
73.6,1090,0.0411,4107.8525,1074.2726
73.9333,1095,0.0388,4726.0039,1085.2396
74.2667,1100,0.041,480.2765,1089.3627
74.6,1105,0.0412,4783.3823,1100.7972
74.9333,1110,0.044,4579.8691,1110.8184
75.2667,1115,0.0434,1490.9436,1116.2719
75.6,1120,0.0408,2817.0249,1124.3595
75.9333,1125,0.0373,3886.177,1133.8714
76.2667,1130,0.0407,3926.3977,1143.5118
76.6,1135,0.0419,3152.4226,1151.6194
76.9333,1140,0.0397,4046.3071,1160.986
77.2667,1145,0.0425,3949.439,1169.7012
77.6,1150,0.0408,4814.292,1179.7083
77.9333,1155,0.0378,2974.7402,1187.0393
78.2667,1160,0.0387,3402.3606,1195.0861
78.6,1165,0.0391,3783.1392,1203.6478
78.9333,1170,0.0381,2190.4036,1210.1389
79.2667,1175,0.037,3936.9226,1225.4698
79.6,1180,0.0394,3972.4387,1234.2002
79.9333,1185,0.0382,3620.1724,1242.5642
80.2667,1190,0.0409,3777.8423,1251.1375
80.6,1195,0.0408,3220.6606,1259.1645
80.9333,1200,0.0375,3890.5854,1275.029
81.2667,1205,0.0374,3999.7476,1284.2171
81.6,1210,0.0432,3796.769,1292.7843
81.9333,1215,0.0372,3954.4121,1301.8803
82.2667,1220,0.0385,3951.1431,1310.5345
82.6,1225,0.0441,4005.5469,1319.252
82.9333,1230,0.0365,3225.6226,1326.845
83.2667,1235,0.0381,4843.5654,1336.7262
83.6,1240,0.0398,4863.563,1346.7216
83.9333,1245,0.0366,480.3931,1350.602
84.2667,1250,0.0374,3970.6882,1359.2602
84.6,1255,0.038,3308.7961,1367.0749
84.9333,1260,0.0404,3935.4465,1375.761
85.2667,1265,0.0382,4010.7207,1384.7052
85.6,1270,0.0365,3942.3022,1394.1141
85.9333,1275,0.0381,3121.9939,1401.8702
86.2667,1280,0.0401,3848.6133,1410.3288
86.6,1285,0.043,3982.614,1419.0767
86.9333,1290,0.0404,4020.4624,1427.9949
87.2667,1295,0.0416,4095.0288,1436.8908
87.6,1300,0.0431,3624.7983,1445.1385
87.9333,1305,0.0439,3493.2456,1453.1423
88.2667,1310,0.0374,4259.6621,1462.341
88.6,1315,0.0378,3727.1577,1470.7713
88.9333,1320,0.0358,2441.4851,1477.3408
89.2667,1325,0.0392,3473.0347,1485.3443
89.6,1330,0.0404,3969.7559,1494.3523
89.9333,1335,0.036,3097.6875,1501.8508
90.2667,1340,0.0407,3401.459,1509.8885
90.6,1345,0.0389,3982.8347,1518.5957
90.9333,1350,0.0365,3714.0723,1527.0022
91.2667,1355,0.0383,4580.666,1536.5297
91.6,1360,0.0395,3404.3684,1544.7657
91.9333,1365,0.0367,3972.8384,1553.7992
92.2667,1370,0.0377,4019.4836,1562.7779
92.6,1375,0.0353,4839.3218,1572.8099
92.9333,1380,0.0381,3291.4043,1580.5295
93.2667,1385,0.038,3404.9192,1588.4225
93.6,1390,0.0379,4103.7573,1597.3747
93.9333,1395,0.0397,3095.9971,1604.8467
94.2667,1400,0.0363,4786.0483,1614.9342
94.6,1405,0.0411,3976.8718,1623.8277
94.9333,1410,0.0363,3940.7375,1632.5114
95.2667,1415,0.0387,3008.6106,1639.863
95.6,1420,0.0364,3960.7583,1648.8524
95.9333,1425,0.0417,2948.7134,1656.167
96.2667,1430,0.0416,4443.5586,1666.2675
96.6,1435,0.0358,4880.8486,1676.667
96.9333,1440,0.042,4325.3916,1686.3299
97.2667,1445,0.0394,4147.0103,1695.3601
97.6,1450,0.0395,3953.9504,1704.1221
97.9333,1455,0.0348,3682.8813,1712.5982
98.2667,1460,0.0385,4827.4658,1722.6174
98.6,1465,0.0385,3983.937,1731.3215
98.9333,1470,0.0358,3956.1531,1740.1196
99.2667,1475,0.0411,3858.4226,1748.9306
99.6,1480,0.0368,4020.9871,1757.8584
99.9333,1485,0.0365,3952.5593,1766.9945
100.2667,1490,0.0421,4529.1821,1776.5954
100.6,1495,0.0394,2437.5229,1783.3244
100.9333,1500,0.0361,1470.1023,1788.3473
