steps,timestep,epochs,loss
970,460.2498,65.6,0.0434
975,462.5918,65.9333,0.0505
980,465.0096,66.2667,0.0415
985,467.3567,66.6,0.0442
990,469.7221,66.9333,0.0439
995,472.1017,67.2667,0.0434
1000,474.5082,67.6,0.0445
1005,476.8965,67.9333,0.0424
1010,479.2795,68.2667,0.0388
1015,481.6013,68.6,0.0418
1020,484.0244,68.9333,0.0415
1025,486.3895,69.2667,0.0431
1030,488.7778,69.6,0.0386
1035,491.1551,69.9333,0.0429
1040,493.5524,70.2667,0.0381
1045,495.9485,70.6,0.0428
1050,498.3316,70.9333,0.0451
1055,500.7065,71.2667,0.0433
1060,503.0379,71.6,0.0449
1065,505.4672,71.9333,0.0419
1070,507.8066,72.2667,0.0401
1075,510.189,72.6,0.0501
1080,512.5771,72.9333,0.0485
1085,514.9617,73.2667,0.0456
1090,517.3667,73.6,0.0418
1095,519.7703,73.9333,0.0412
1100,522.162,74.2667,0.039
1105,524.5293,74.6,0.0405
1110,526.9269,74.9333,0.044
1115,529.3205,75.2667,0.0441
1120,531.691,75.6,0.0426
1125,534.0693,75.9333,0.0407
1130,536.4705,76.2667,0.0548
1135,538.8688,76.6,0.0431
1140,541.2216,76.9333,0.0395
1145,543.6438,77.2667,0.0499
1150,545.9989,77.6,0.0478
1155,548.3842,77.9333,0.0396
1160,550.7529,78.2667,0.0426
1165,553.1231,78.6,0.0433
1170,555.5038,78.9333,0.0503
1175,557.876,79.2667,0.0481
1180,560.2806,79.6,0.0401
1185,562.6231,79.9333,0.0398
1190,565.0485,80.2667,0.0467
1195,567.3883,80.6,0.0393
1200,569.7744,80.9333,0.0394
1205,572.1518,81.2667,0.0536
1210,574.5413,81.6,0.0478
1215,576.9242,81.9333,0.0453
1220,579.2854,82.2667,0.0442
1225,581.6725,82.6,0.0383
1230,584.0236,82.9333,0.0419
1235,586.4314,83.2667,0.0444
1240,588.776,83.6,0.041
1245,591.14,83.9333,0.0419
1250,593.5449,84.2667,0.0417
1255,595.9286,84.6,0.0412
1260,598.3892,84.9333,0.0433
1265,600.9005,85.2667,0.0375
1270,603.2918,85.6,0.0426
1275,605.6284,85.9333,0.0436
1280,608.0284,86.2667,0.0383
1285,610.429,86.6,0.0442
1290,612.7978,86.9333,0.0424
1295,615.1799,87.2667,0.0362
1300,617.5831,87.6,0.0485
1305,619.9835,87.9333,0.0351
1310,622.387,88.2667,0.0395
1315,624.7644,88.6,0.0419
1320,627.102,88.9333,0.0461
1325,629.4982,89.2667,0.0409
1330,631.9149,89.6,0.0392
1335,634.2845,89.9333,0.0378
1340,636.8033,90.2667,0.0394
1345,639.2675,90.6,0.0372
1350,641.775,90.9333,0.0467
1355,644.2551,91.2667,0.0406
1360,646.7136,91.6,0.0421
1365,649.0362,91.9333,0.0436
1370,651.4616,92.2667,0.047
1375,653.8562,92.6,0.0412
1380,656.2752,92.9333,0.0421
1385,658.6867,93.2667,0.0382
1390,661.0505,93.6,0.0361
1395,663.4712,93.9333,0.0391
1400,665.8438,94.2667,0.0349
1405,668.2809,94.6,0.0408
1410,670.6233,94.9333,0.0591
1415,673.0172,95.2667,0.0426
1420,675.4088,95.6,0.0433
1425,677.815,95.9333,0.0399
1430,680.2231,96.2667,0.0416
1435,682.6253,96.6,0.0446
1440,685.0237,96.9333,0.0427
1445,687.3872,97.2667,0.0368
1450,689.7982,97.6,0.0409
1455,692.2066,97.9333,0.0378
1460,694.6209,98.2667,0.0389
1465,697.004,98.6,0.0417
1470,699.4074,98.9333,0.0403
1475,701.7968,99.2667,0.0468
1480,704.1704,99.6,0.0392
1485,706.5899,99.9333,0.0364
1490,708.9497,100.2667,0.0429
1495,711.3572,100.6,0.0388
1500,713.7479,100.9333,0.0463
