epochs,steps,loss,rewards,time
48.9333,720,0.0461,789.9269,1493.3927
49.2667,725,0.0647,801.8484,1503.5473
49.6,730,0.0458,797.1167,1513.5705
49.9333,735,0.0448,692.7333,1523.9219
50.2667,740,0.0524,682.7402,1534.4209
50.6,745,0.0458,1084.4563,1544.6299
50.9333,750,0.052,585.4567,1554.5562
51.2667,755,0.0473,809.0216,1565.0082
51.6,760,0.0427,699.1702,1575.0971
51.9333,765,0.0514,611.3781,1585.0944
52.2667,770,0.0417,487.6044,1595.2493
52.6,775,0.0439,747.6346,1605.4515
52.9333,780,0.0518,1080.3441,1616.149
53.2667,785,0.065,925.9232,1626.1136
53.6,790,0.0441,223.9912,1636.1713
53.9333,795,0.0417,861.4596,1646.2359
54.2667,800,0.0561,972.9256,1656.2702
54.6,805,0.0459,1371.9501,1666.7296
54.9333,810,0.0421,792.8845,1676.6717
55.2667,815,0.042,1314.214,1686.9207
55.6,820,0.0445,1230.9154,1696.8668
55.9333,825,0.0467,1599.2291,1707.2846
56.2667,830,0.0626,959.458,1717.2842
56.6,835,0.0424,1311.7087,1727.4027
56.9333,840,0.0459,1429.6547,1737.4853
57.2667,845,0.0467,1312.929,1747.7685
57.6,850,0.046,1803.5225,1758.2016
57.9333,855,0.0553,1416.6691,1768.3619
58.2667,860,0.0438,1125.6781,1778.575
58.6,865,0.0437,2150.5303,1788.6799
58.9333,870,0.054,1237.5621,1798.821
59.2667,875,0.0401,1776.2972,1808.8407
59.6,880,0.0405,828.756,1818.9157
59.9333,885,0.0552,2829.8267,1829.8676
60.2667,890,0.0475,2229.5984,1840.2855
60.6,895,0.0527,2315.9023,1850.31
60.9333,900,0.0435,1799.2449,1860.3185
61.2667,905,0.0468,2363.187,1870.4195
61.6,910,0.049,2003.7971,1880.3931
61.9333,915,0.0425,1619.4226,1890.4568
62.2667,920,0.0433,1915.7201,1900.6922
62.6,925,0.0483,2424.9248,1910.9074
62.9333,930,0.0419,889.0167,1921.076
63.2667,935,0.0426,1562.6865,1931.1656
63.6,940,0.0456,1941.3684,1941.2607
63.9333,945,0.0475,1861.1484,1951.3831
64.2667,950,0.0414,1192.0273,1961.5358
64.6,955,0.0461,865.2418,1971.5975
64.9333,960,0.0416,1445.2118,1981.6936
65.2667,965,0.0438,1179.7557,1992.7791
65.6,970,0.044,2296.251,2003.1269
65.9333,975,0.0405,1832.8997,2013.1797
66.2667,980,0.0451,2492.5093,2024.0609
66.6,985,0.0486,1338.0319,2034.2094
66.9333,990,0.0422,1137.5045,2044.2997
67.2667,995,0.0441,1032.5585,2054.5146
67.6,1000,0.0395,707.5686,2064.7797
67.9333,1005,0.0458,1174.6594,2074.736
68.2667,1010,0.042,2244.7192,2085.0249
68.6,1015,0.0445,1337.3904,2095.1851
68.9333,1020,0.0406,919.5865,2105.3037
69.2667,1025,0.0427,1626.7122,2116.3345
69.6,1030,0.0423,1855.0742,2126.5011
69.9333,1035,0.0417,1315.2894,2136.5948
70.2667,1040,0.0405,2717.6936,2146.6868
70.6,1045,0.0487,1865.2903,2156.7182
70.9333,1050,0.0405,3204.6187,2166.7282
71.2667,1055,0.047,2167.0732,2177.0512
71.6,1060,0.042,1650.0574,2187.7386
71.9333,1065,0.0471,2881.0151,2197.6687
72.2667,1070,0.0476,2111.8062,2207.889
72.6,1075,0.0416,1977.066,2218.2262
72.9333,1080,0.0407,2094.5583,2228.2547
73.2667,1085,0.0456,741.9748,2238.2729
73.6,1090,0.041,1616.4611,2249.0128
