epochs,steps,loss,rewards,time
43.6,640,0.0488,499.6422,443.3614
43.9333,645,0.0527,499.5181,447.8206
44.2667,650,0.0531,394.3115,452.0971
44.6,655,0.0504,488.2532,456.259
44.9333,660,0.0456,493.1637,460.4526
45.2667,665,0.05,436.9563,464.9182
45.6,670,0.0504,433.4543,469.4102
45.9333,675,0.0522,501.6545,473.997
46.2667,680,0.0514,386.8498,477.9186
46.6,685,0.0479,423.7256,482.3051
46.9333,690,0.0439,428.6548,486.3393
47.2667,695,0.0472,413.6358,490.2231
47.6,700,0.0479,408.5873,494.1762
47.9333,705,0.0469,464.6289,498.3574
48.2667,710,0.0464,324.8532,502.6603
48.6,715,0.043,361.0652,506.7328
48.9333,720,0.0427,414.1774,511.1114
49.2667,725,0.045,1297.9993,516.6325
49.6,730,0.0457,465.7434,520.8508
49.9333,735,0.046,522.7836,525.4511
50.2667,740,0.0409,492.1734,530.1347
50.6,745,0.0502,945.0421,535.0355
50.9333,750,0.0485,489.2801,539.1523
51.2667,755,0.0509,469.5119,543.1745
51.6,760,0.0462,420.8245,547.1672
51.9333,765,0.0426,404.7661,551.331
52.2667,770,0.0468,417.83,555.2286
52.6,775,0.0452,1319.3704,560.4644
52.9333,780,0.0465,404.5143,564.2912
53.2667,785,0.0474,356.461,568.0026
53.6,790,0.0452,571.3611,572.231
53.9333,795,0.0475,515.8799,576.2352
54.2667,800,0.0438,341.9351,580.3065
54.6,805,0.0408,351.5314,584.4759
54.9333,810,0.0459,509.9133,588.8463
55.2667,815,0.0472,598.1893,593.1836
55.6,820,0.0498,436.8475,597.0774
55.9333,825,0.0567,422.7856,601.0303
56.2667,830,0.0449,414.4515,604.9282
56.6,835,0.0455,574.3113,609.2281
56.9333,840,0.0436,563.6922,613.2879
57.2667,845,0.0454,790.9469,617.5979
57.6,850,0.0427,511.7827,621.4653
57.9333,855,0.0427,499.4338,625.3571
58.2667,860,0.0428,621.6163,629.4097
58.6,865,0.0472,393.6807,633.2218
58.9333,870,0.0457,819.3182,637.6899
59.2667,875,0.0457,400.9987,641.5227
59.6,880,0.044,1199.267,646.5373
59.9333,885,0.0413,386.9495,650.3713
60.2667,890,0.0444,803.4698,654.8692
60.6,895,0.0491,1094.1803,659.558
60.9333,900,0.043,767.7816,663.8897
61.2667,905,0.0451,1334.4363,669.0412
61.6,910,0.0416,1295.8743,674.1806
61.9333,915,0.0451,405.1646,677.8898
62.2667,920,0.0448,1076.5669,682.736
62.6,925,0.0448,1342.7794,687.8805
62.9333,930,0.0484,486.5397,691.7713
63.2667,935,0.0447,1044.0513,696.4961
63.6,940,0.0425,833.2018,701.0847
63.9333,945,0.0427,384.4395,704.6567
64.2667,950,0.0458,721.9858,709.0507
64.6,955,0.0444,934.9482,713.9449
64.9333,960,0.0435,407.5304,717.7047
65.2667,965,0.0447,373.6475,721.4479
65.6,970,0.042,1198.5029,726.7853
65.9333,975,0.0444,877.4319,731.2534
66.2667,980,0.0454,406.0884,735.1387
66.6,985,0.0458,1334.0729,740.4747
66.9333,990,0.0433,427.872,744.3037
67.2667,995,0.0431,709.5404,748.678
67.6,1000,0.0447,452.8602,752.5963
67.9333,1005,0.0441,456.8034,756.3669
68.2667,1010,0.0414,1303.0673,761.519
68.6,1015,0.0457,449.7184,765.5059
68.9333,1020,0.0416,447.2764,769.2999
69.2667,1025,0.0472,397.0797,772.946
69.6,1030,0.0433,911.1016,777.4778
69.9333,1035,0.0418,408.6711,781.1945
70.2667,1040,0.0411,1504.8743,786.5104
70.6,1045,0.0445,384.8961,790.1741
70.9333,1050,0.0419,1745.0291,795.9398
