loss,steps,rewards,time,epochs
0.1009,735,10.0654,460.0252,49.9333
0.1002,740,5.8368,463.4319,50.2667
0.1106,745,8.7002,467.0556,50.6
0.1081,750,9.4461,470.4693,50.9333
0.1096,755,7.3556,473.7868,51.2667
0.1056,760,7.1043,477.1927,51.6
0.1088,765,9.9629,480.7561,51.9333
0.0999,770,7.5408,484.0808,52.2667
0.1052,775,11.2462,487.3358,52.6
0.1075,780,8.4563,490.7559,52.9333
0.1011,785,8.6636,494.2101,53.2667
0.1056,790,8.5029,497.6421,53.6
0.1027,795,8.2591,501.0567,53.9333
0.1022,800,8.3608,504.5869,54.2667
0.1056,805,6.1927,508.0511,54.6
0.0996,810,7.979,511.6724,54.9333
0.1057,815,9.9503,515.2506,55.2667
0.111,820,8.5421,518.9658,55.6
0.1052,825,7.0611,522.3055,55.9333
0.1064,830,6.3166,525.6624,56.2667
0.1025,835,6.7984,529.2354,56.6
0.1046,840,11.2757,532.6918,56.9333
0.1067,845,8.4495,536.109,57.2667
0.1059,850,11.6935,539.6093,57.6
0.1053,855,9.155,543.0058,57.9333
0.1008,860,10.8226,546.4438,58.2667
0.0981,865,8.4982,549.8783,58.6
0.1034,870,10.5665,553.454,58.9333
0.1036,875,9.3572,556.9478,59.2667
0.1012,880,10.6398,560.3436,59.6
0.1011,885,10.8429,563.7947,59.9333
0.1005,890,8.767,567.2842,60.2667
0.0947,895,10.1973,570.7344,60.6
0.1079,900,9.8776,574.2735,60.9333
0.105,905,11.132,577.6576,61.2667
0.1026,910,9.6082,581.0101,61.6
0.0974,915,11.5521,584.6325,61.9333
0.109,920,9.3954,588.0718,62.2667
0.0957,925,10.1427,591.484,62.6
0.1087,930,8.3502,594.9172,62.9333
0.1078,935,8.8658,598.4005,63.2667
0.0914,940,11.2906,601.7875,63.6
0.0965,945,9.9945,605.1928,63.9333
0.1087,950,7.6646,608.7849,64.2667
0.1128,955,9.6149,612.421,64.6
0.1016,960,9.7832,615.8452,64.9333
0.1028,965,8.1148,619.1838,65.2667
0.1005,970,10.9362,622.6718,65.6
0.1054,975,10.846,626.1007,65.9333
0.1045,980,7.6354,629.5601,66.2667
0.1014,985,9.6149,632.9886,66.6
0.1004,990,7.1059,636.3806,66.9333
0.1025,995,10.1755,639.8073,67.2667
0.1075,1000,8.3789,643.5735,67.6
0.1067,1005,9.1743,647.1775,67.9333
0.1011,1010,8.3242,650.6051,68.2667
0.0958,1015,9.5989,654.237,68.6
0.0992,1020,8.6077,657.6576,68.9333
0.1134,1025,10.576,661.1009,69.2667
0.1009,1030,9.2817,664.564,69.6
0.0884,1035,11.5869,668.1433,69.9333
0.106,1040,11.3026,671.617,70.2667
0.0948,1045,10.1185,675.0592,70.6
0.0962,1050,13.6129,678.5222,70.9333
0.0944,1055,12.6873,682.0041,71.2667
0.0968,1060,10.2726,685.3736,71.6
0.1052,1065,10.0758,688.9122,71.9333
0.1023,1070,9.02,692.2874,72.2667
0.1048,1075,11.2562,695.8071,72.6
0.1023,1080,9.9779,699.2924,72.9333
0.0976,1085,11.0098,702.7581,73.2667
0.096,1090,12.3141,706.3542,73.6
0.1009,1095,8.8316,709.7098,73.9333
0.0963,1100,18.0421,713.2452,74.2667
0.0916,1105,11.8771,716.8726,74.6
0.0949,1110,10.1878,720.2676,74.9333
0.0948,1115,10.1569,723.7296,75.2667
0.0907,1120,14.0827,727.3658,75.6
0.0955,1125,9.3251,730.8207,75.9333
0.1061,1130,11.2802,734.3988,76.2667
0.0938,1135,12.2001,737.9085,76.6
0.0999,1140,10.4383,741.6264,76.9333
0.0958,1145,13.2588,745.0669,77.2667
0.0994,1150,11.5054,748.4443,77.6
0.1047,1155,16.4604,751.7359,77.9333
0.1029,1160,7.3501,755.1333,78.2667
0.1021,1165,13.5551,758.5924,78.6
