epochs,loss,rewards,time,steps
1.2667,0.7947,-225.4189,9.7154,5
1.6,0.7894,-224.1359,19.4325,10
1.9333,0.778,-225.3055,29.1956,15
2.2667,0.7762,-224.7536,39.668,20
2.6,0.7701,-226.0441,49.7536,25
2.9333,0.7706,-226.3297,60.3005,30
3.2667,0.7735,-226.2319,70.9947,35
3.6,0.7648,-224.4032,81.2985,40
3.9333,0.7779,-225.5405,91.8812,45
4.2667,0.7574,-224.5746,101.5808,50
4.6,0.7572,-221.9503,111.3113,55
4.9333,0.7394,-222.6888,121.8157,60
5.2667,0.7245,-221.1869,131.9794,65
5.6,0.7134,-221.9506,142.2535,70
5.9333,0.7226,-220.8404,152.7943,75
6.2667,0.7099,-220.329,162.7922,80
6.6,0.7035,-220.4777,173.0435,85
6.9333,0.6854,-219.6546,182.8089,90
7.2667,0.6851,-217.4684,193.2591,95
7.6,0.661,-218.7855,203.8604,100
7.9333,0.6481,-219.5667,213.7474,105
8.2667,0.6314,-216.0619,223.8102,110
8.6,0.6306,-215.4135,234.2792,115
8.9333,0.6187,-215.2598,244.1994,120
9.2667,0.6013,-211.1991,254.9184,125
9.6,0.5918,-213.0504,264.6999,130
9.9333,0.5772,-210.9096,275.4414,135
10.2667,0.5673,-211.3493,285.3635,140
10.6,0.5453,-210.078,295.5272,145
10.9333,0.532,-207.9434,305.2845,150
11.2667,0.5133,-204.8968,315.1017,155
11.6,0.4937,-202.8892,324.8398,160
11.9333,0.4975,-200.8414,334.597,165
12.2667,0.4604,-201.0412,344.3195,170
12.6,0.4675,-192.8678,354.4761,175
12.9333,0.4443,-186.0648,365.4938,180
13.2667,0.4275,-177.7267,376.3551,185
13.6,0.4092,-171.9411,387.6621,190
13.9333,0.4134,-151.59,398.3243,195
14.2667,0.3862,-157.7998,408.0876,200
14.6,0.3689,-145.5522,418.0398,205
14.9333,0.345,-137.2166,428.4714,210
15.2667,0.3266,-120.3326,438.2506,215
15.6,0.3453,-108.0939,448.3108,220
15.9333,0.338,-118.4234,458.9887,225
16.2667,0.3103,-112.4089,469.9219,230
16.6,0.2894,-110.9793,481.1909,235
16.9333,0.2837,-111.3782,491.2948,240
17.2667,0.2702,-106.7154,501.0554,245
17.6,0.242,-105.8573,510.8201,250
17.9333,0.2609,-106.8006,520.9471,255
18.2667,0.2321,-95.5263,530.9355,260
18.6,0.2315,-91.0172,541.1162,265
18.9333,0.2211,-91.7377,550.8065,270
19.2667,0.2144,-87.6406,560.5388,275
19.6,0.2,-88.5322,571.2687,280
19.9333,0.2184,-75.6281,582.2326,285
20.2667,0.1901,-62.2065,592.069,290
20.6,0.1867,-64.8613,602.758,295
20.9333,0.1746,-59.3301,612.606,300
21.2667,0.1757,-52.7062,622.2431,305
21.6,0.1781,-42.6165,632.0274,310
21.9333,0.1718,-47.3587,642.0378,315
22.2667,0.1638,-43.8599,653.0129,320
22.6,0.1461,-29.1306,663.4638,325
22.9333,0.1701,-34.1668,674.4132,330
23.2667,0.161,-33.1699,687.1913,335
23.6,0.1678,-29.413,699.4277,340
23.9333,0.1485,-19.9547,711.4479,345
24.2667,0.1411,-26.4975,723.3548,350
24.6,0.1362,-22.9561,733.5665,355
24.9333,0.1408,-13.9258,744.6387,360
25.2667,0.1394,-16.8008,755.3254,365
25.6,0.1309,-20.9006,765.7535,370
25.9333,0.1424,-23.1536,776.06,375
26.2667,0.1311,-21.669,786.1721,380
26.6,0.131,-29.1237,795.9615,385
26.9333,0.1378,-16.0739,805.8679,390
27.2667,0.1353,-20.6077,816.1153,395
27.6,0.1409,-28.837,826.9848,400
27.9333,0.1384,-12.0885,838.3505,405
28.2667,0.1198,-25.959,848.0634,410
28.6,0.1428,-32.8202,857.9815,415
28.9333,0.1269,-19.8177,867.8906,420
29.2667,0.1382,-20.456,879.1835,425
29.6,0.1355,-17.8365,889.3331,430
29.9333,0.1328,-31.3658,899.3596,435
30.2667,0.1254,-30.7856,909.5621,440
30.6,0.1194,-16.2965,920.1919,445
30.9333,0.1614,-25.453,930.5305,450
31.2667,0.1267,-19.8374,941.1651,455
31.6,0.1367,-25.7508,950.9939,460
31.9333,0.116,-26.7268,961.7968,465
32.2667,0.118,-20.4033,972.2661,470
32.6,0.1426,-30.192,982.0646,475
32.9333,0.1246,-22.2766,991.8422,480
33.2667,0.1164,-33.0299,1002.0885,485
33.6,0.1188,-34.1379,1012.7043,490
33.9333,0.1256,-25.651,1023.4793,495
34.2667,0.1285,-34.0272,1036.5747,500
34.6,0.1118,-31.4162,1049.8683,505
34.9333,0.1119,-30.2153,1060.0589,510
35.2667,0.1275,-34.0387,1070.4494,515
35.6,0.1327,-32.562,1081.3293,520
35.9333,0.126,-35.6282,1091.6721,525
36.2667,0.1308,-42.4841,1102.5932,530
36.6,0.1173,-38.3562,1113.3407,535
36.9333,0.1124,-30.8949,1126.1618,540
37.2667,0.1185,-30.9232,1137.6199,545
37.6,0.1217,-32.7459,1148.2847,550
37.9333,0.1117,-33.3986,1158.9804,555
38.2667,0.109,-38.2542,1170.0974,560
38.6,0.1158,-40.2409,1181.1456,565
38.9333,0.1117,-40.5278,1191.6785,570
39.2667,0.1171,-45.2234,1203.1412,575
39.6,0.1156,-42.1271,1212.9769,580
39.9333,0.1244,-46.9895,1222.7966,585
40.2667,0.1282,-52.9587,1236.4928,590
40.6,0.1115,-37.4212,1246.7981,595
40.9333,0.1144,-44.0303,1258.8273,600
41.2667,0.1125,-50.4999,1271.0555,605
41.6,0.1139,-53.7221,1282.1739,610
41.9333,0.1269,-50.8598,1292.7311,615
42.2667,0.1125,-55.4068,1302.6315,620
42.6,0.1225,-65.1265,1314.0749,625
42.9333,0.1142,-53.3739,1324.9703,630
43.2667,0.1124,-49.9095,1335.8978,635
43.6,0.1276,-50.2234,1345.74,640
43.9333,0.1286,-52.9399,1355.6186,645
44.2667,0.1106,-52.2684,1367.759,650
44.6,0.1205,-55.7171,1381.3831,655
44.9333,0.1195,-54.3205,1392.2228,660
45.2667,0.1099,-55.9054,1403.0216,665
45.6,0.1232,-62.1694,1413.2321,670
45.9333,0.1168,-58.4627,1423.868,675
46.2667,0.1335,-62.6995,1433.6797,680
46.6,0.1066,-57.6297,1444.4198,685
46.9333,0.1029,-55.9658,1454.2852,690
47.2667,0.1064,-54.6049,1464.6282,695
47.6,0.1063,-59.897,1476.047,700
47.9333,0.1215,-54.4842,1487.3337,705
48.2667,0.1181,-64.5844,1497.1266,710
48.6,0.1191,-61.8979,1508.1274,715
48.9333,0.1133,-55.7973,1519.742,720
49.2667,0.1079,-62.8547,1530.5482,725
49.6,0.1202,-62.0388,1540.4311,730
49.9333,0.1298,-55.1607,1551.0163,735
50.2667,0.1177,-61.8976,1561.7191,740
50.6,0.1131,-60.8997,1571.9275,745
50.9333,0.1089,-66.8712,1583.444,750
51.2667,0.1026,-68.8385,1593.1948,755
51.6,0.1231,-65.0114,1603.2946,760
51.9333,0.1053,-69.5806,1614.3064,765
52.2667,0.1149,-68.7041,1624.1715,770
52.6,0.1077,-70.4288,1634.3155,775
52.9333,0.1102,-66.2309,1645.1908,780
53.2667,0.1256,-66.8143,1654.9912,785
53.6,0.1079,-73.7956,1665.3128,790
