time,epochs,loss,steps,rewards
548.0323,50.6,0.0487,745,513.9094
552.5675,50.9333,0.0461,750,533.9075
557.8522,51.2667,0.045,755,1377.4974
562.0365,51.6,0.0457,760,647.9735
565.6847,51.9333,0.0448,765,370.4169
569.8757,52.2667,0.0426,770,569.9755
573.8033,52.6,0.0453,775,394.228
579.7018,52.9333,0.0414,780,1793.8652
583.9371,53.2667,0.0461,785,637.5974
587.8144,53.6,0.0448,790,496.5314
592.1513,53.9333,0.0396,795,504.3326
595.908,54.2667,0.0463,800,400.2805
599.7846,54.6,0.0456,805,380.2637
603.8375,54.9333,0.0475,810,463.1203
608.4784,55.2667,0.0428,815,669.6611
612.4498,55.6,0.0405,820,394.6799
616.4976,55.9333,0.0413,825,557.864
620.3749,56.2667,0.0461,830,487.5272
624.4605,56.6,0.0396,835,553.3459
628.7128,56.9333,0.0408,840,602.7745
632.8091,57.2667,0.0414,845,520.1603
636.7475,57.6,0.042,850,470.9337
640.7155,57.9333,0.0458,855,501.9706
646.0113,58.2667,0.041,860,1377.6215
650.1516,58.6,0.04,865,654.0209
655.0001,58.9333,0.0439,870,1150.0824
659.4582,59.2667,0.042,875,441.878
664.7315,59.6,0.0402,880,503.5257
677.0371,59.9333,0.0475,885,3186.3586
686.7455,60.2667,0.0418,890,2260.5798
691.3927,60.6,0.0451,895,434.1234
695.7319,60.9333,0.045,900,515.3738
700.6735,61.2667,0.0434,905,477.7721
705.3135,61.6,0.0418,910,715.7119
709.8393,61.9333,0.0382,915,417.7724
717.3291,62.2667,0.0401,920,2681.4546
725.1276,62.6,0.042,925,3014.5022
734.3118,62.9333,0.0508,930,3763.9575
738.9946,63.2667,0.0406,935,494.9388
743.3634,63.6,0.0417,940,716.5482
750.218,63.9333,0.0403,945,2302.4595
756.2029,64.2667,0.0436,950,1505.4535
763.2175,64.6,0.0432,955,2374.323
767.5403,64.9333,0.0448,960,707.1724
771.5848,65.2667,0.0448,965,602.7762
779.323,65.6,0.0428,970,3068.8933
784.9371,65.9333,0.0417,975,1462.2444
792.8886,66.2667,0.0416,980,3126.1497
801.9535,66.6,0.039,985,3791.5181
808.2806,66.9333,0.0434,990,2130.7876
815.2494,67.2667,0.0411,995,2420.0422
825.0636,67.6,0.0445,1000,4055.2976
834.0243,67.9333,0.0488,1005,3688.9243
837.9751,68.2667,0.0415,1010,526.4354
841.6004,68.6,0.0415,1015,429.0379
850.9246,68.9333,0.041,1020,3968.8899
855.0611,69.2667,0.0414,1025,600.6594
862.8768,69.6,0.0419,1030,3116.686
872.4509,69.9333,0.0439,1035,3935.4097
876.7036,70.2667,0.0387,1040,756.6296
880.5313,70.6,0.0412,1045,577.6788
890.3394,70.9333,0.0416,1050,3984.5476
901.3175,71.2667,0.04,1055,4588.1738
913.3174,71.6,0.0407,1060,4723.2378
923.7056,71.9333,0.0382,1065,4613.3193
928.0266,72.2667,0.038,1070,693.818
938.0456,72.6,0.0358,1075,4787.9263
946.499,72.9333,0.0431,1080,3487.095
954.1343,73.2667,0.042,1085,3116.7131
965.179,73.6,0.041,1090,4679.9385
975.1942,73.9333,0.0432,1095,4761.6367
985.4174,74.2667,0.0456,1100,4686.4165
989.0531,74.6,0.0401,1105,361.593
999.0537,74.9333,0.0401,1110,4788.5801
1005.923,75.2667,0.0413,1115,2464.7419
1009.8843,75.6,0.0368,1120,623.2374
1019.0832,75.9333,0.0381,1125,4071.1829
