epochs,loss,rewards,time,steps
1.25,0.5075,5.8656,2.0329,5
1.5625,0.484,5.0437,4.0284,10
1.875,0.4377,5.8368,6.0284,15
2.1875,0.5008,5.4651,8.0792,20
2.5,0.4556,5.4656,10.1472,25
2.8125,0.4535,4.859,12.1829,30
3.125,0.44,5.4417,14.2432,35
3.4375,0.4728,6.0207,16.3337,40
3.75,0.4669,5.3611,18.4059,45
4.0625,0.4307,6.1428,20.4636,50
4.375,0.4308,6.3157,22.5332,55
4.6875,0.4087,5.7176,24.5472,60
5.0,0.389,6.523,26.6417,65
5.3125,0.4077,5.8193,28.7252,70
5.625,0.3569,7.0601,30.8314,75
5.9375,0.3405,6.9653,32.9083,80
6.25,0.3504,6.9068,35.0551,85
6.5625,0.3057,8.4743,37.1462,90
6.875,0.3099,7.9192,39.1756,95
7.1875,0.3005,11.4241,41.31,100
7.5,0.3011,17.8695,43.4998,105
7.8125,0.276,20.7781,45.6779,110
8.125,0.2658,101.1307,48.1253,115
8.4375,0.2731,185.0374,50.8218,120
8.75,0.2488,247.9436,53.7288,125
9.0625,0.26,295.9967,56.7294,130
9.375,0.2323,236.5926,59.3708,135
9.6875,0.2291,314.7148,62.2324,140
10.0,0.2348,234.0833,64.9752,145
10.3125,0.2091,394.417,68.1219,150
10.625,0.2171,370.2225,71.3606,155
10.9375,0.2178,343.0064,74.4692,160
11.25,0.2214,426.3465,77.8426,165
11.5625,0.225,442.2058,81.4596,170
11.875,0.2165,652.3939,85.2637,175
12.1875,0.2092,732.9644,89.4877,180
12.5,0.2122,465.7699,92.7669,185
12.8125,0.1961,690.5952,97.0561,190
13.125,0.1995,575.838,100.8665,195
13.4375,0.2096,623.5133,104.6011,200
13.75,0.208,621.8753,108.3102,205
14.0625,0.1878,1077.5776,113.3611,210
14.375,0.1998,908.7422,117.7622,215
14.6875,0.1873,706.8241,121.8032,220
15.0,0.199,527.1867,125.6706,225
15.3125,0.1948,706.7503,129.7829,230
15.625,0.1772,907.4738,134.284,235
