time,epochs,loss,steps,rewards
562.677,47.1875,0.0996,740,1314.1846
567.2067,47.5,0.1093,745,1214.1553
572.1923,47.8125,0.1054,750,1413.8475
577.1177,48.125,0.1043,755,1387.7516
582.8952,48.4375,0.1221,760,1806.2943
587.5454,48.75,0.1135,765,936.7891
592.2295,49.0625,0.1069,770,1245.9628
597.4803,49.375,0.1065,775,1517.1904
602.2079,49.6875,0.1062,780,1172.1488
606.8801,50.0,0.1112,785,1278.9021
611.4674,50.3125,0.1097,790,1155.1061
615.9819,50.625,0.101,795,1201.3035
622.1304,50.9375,0.1101,800,1947.6074
626.4959,51.25,0.1113,805,1013.2374
631.415,51.5625,0.1126,810,1376.488
635.6617,51.875,0.1085,815,1068.6051
640.5717,52.1875,0.107,820,1394.729
645.1409,52.5,0.1044,825,1200.6465
649.0407,52.8125,0.1028,830,879.6151
653.8815,53.125,0.1106,835,1346.4548
659.0722,53.4375,0.1005,840,1493.0681
663.3084,53.75,0.1071,845,1076.8397
668.1676,54.0625,0.0986,850,1339.2881
672.5745,54.375,0.1021,855,1167.1951
677.3904,54.6875,0.1027,860,1342.0945
681.4959,55.0,0.1041,865,991.1238
687.5758,55.3125,0.0959,870,1876.0394
693.4613,55.625,0.1081,875,1807.8727
697.934,55.9375,0.1094,880,1099.1964
702.785,56.25,0.1086,885,1347.1047
706.8003,56.5625,0.0909,890,904.0951
711.8448,56.875,0.1033,895,1487.3179
716.2153,57.1875,0.1048,900,1127.3154
721.3914,57.5,0.1038,905,1526.6622
726.9857,57.8125,0.1007,910,1734.3616
731.2138,58.125,0.1083,915,1054.8358
736.1309,58.4375,0.1035,920,1313.0754
740.8873,58.75,0.1137,925,1253.9734
745.008,59.0625,0.1054,930,929.6819
749.7854,59.375,0.0984,935,1309.2449
755.1983,59.6875,0.0941,940,1452.5049
759.7353,60.0,0.0999,945,1198.6139
763.8274,60.3125,0.0938,950,960.6053
768.6152,60.625,0.1046,955,1292.3176
772.5877,60.9375,0.0972,960,923.7498
777.923,61.25,0.0947,965,1572.1661
781.9458,61.5625,0.0933,970,943.5775
786.8531,61.875,0.0985,975,1381.1501
790.8067,62.1875,0.0981,980,940.1385
796.1327,62.5,0.101,985,1582.0168
801.0522,62.8125,0.1021,990,1329.3137
805.7245,63.125,0.1039,995,1260.3798
810.3498,63.4375,0.0986,1000,1250.9048
815.6025,63.75,0.0958,1005,1539.8613
821.5833,64.0625,0.1034,1010,1925.0234
826.2081,64.375,0.1013,1015,1231.8831
830.8558,64.6875,0.1036,1020,1274.1327
834.7788,65.0,0.1029,1025,885.494
839.3469,65.3125,0.1,1030,1208.1824
844.5522,65.625,0.0979,1035,1517.2344
848.6065,65.9375,0.0929,1040,963.038
853.0116,66.25,0.0996,1045,1114.2418
857.4973,66.5625,0.0938,1050,1187.2527
861.1755,66.875,0.1001,1055,778.5892
865.1391,67.1875,0.098,1060,929.6974
869.3815,67.5,0.1028,1065,1073.1509
873.2669,67.8125,0.1044,1070,888.1779
878.8003,68.125,0.0997,1075,1485.2589
882.6927,68.4375,0.0949,1080,893.5657
887.7299,68.75,0.1006,1085,1387.8904
892.2086,69.0625,0.0997,1090,1132.1345
896.1385,69.375,0.0983,1095,901.4287
901.5615,69.6875,0.0909,1100,1630.2063
906.1187,70.0,0.1032,1105,1104.7197
911.6376,70.3125,0.0922,1110,1442.5923
916.4972,70.625,0.0893,1115,1335.9221
921.846,70.9375,0.1029,1120,1593.9296
926.8981,71.25,0.1048,1125,1414.041
931.1985,71.5625,0.0939,1130,1104.855
936.6347,71.875,0.0953,1135,1548.5795
941.5319,72.1875,0.1039,1140,1289.4393
946.282,72.5,0.0988,1145,1316.0514
951.1887,72.8125,0.0975,1150,1386.3184
955.1748,73.125,0.1012,1155,926.4731
959.8917,73.4375,0.0996,1160,1273.7006
964.1633,73.75,0.0962,1165,1004.2291
969.8734,74.0625,0.0993,1170,1586.7776
973.9676,74.375,0.0968,1175,816.0168
