epochs,loss,rewards,time,steps
1.2667,0.9684,-101.1038,9.6843,5
1.6,0.9714,-100.5372,19.855,10
1.9333,0.9796,-102.419,29.5551,15
2.2667,0.9714,-106.3033,39.7106,20
2.6,0.9816,-100.6291,49.4809,25
2.9333,0.9623,-99.7358,59.5528,30
3.2667,0.9582,-100.7946,69.6188,35
3.6,0.9492,-103.6132,79.2809,40
3.9333,0.9395,-92.7957,89.6373,45
4.2667,0.9269,-98.7478,100.5002,50
4.6,0.9214,-97.6364,110.1184,55
4.9333,0.9294,-97.8204,119.8007,60
5.2667,0.8949,-96.0089,129.5341,65
5.6,0.8938,-95.0968,139.7047,70
5.9333,0.8937,-92.4207,149.5199,75
6.2667,0.8645,-93.0806,159.2771,80
6.6,0.8532,-90.751,168.9841,85
6.9333,0.8282,-88.509,179.0838,90
7.2667,0.823,-85.9349,188.8119,95
7.6,0.7873,-85.9139,199.0502,100
7.9333,0.7718,-85.0741,209.1864,105
8.2667,0.7462,-83.0624,218.8581,110
8.6,0.7481,-80.0986,229.8184,115
8.9333,0.7191,-78.0775,239.5583,120
9.2667,0.6839,-76.8873,249.2956,125
9.6,0.658,-75.9204,259.7431,130
9.9333,0.6505,-70.495,269.3773,135
10.2667,0.614,-68.5133,279.4466,140
10.6,0.6076,-68.1936,289.2158,145
10.9333,0.555,-62.8845,298.8584,150
11.2667,0.5363,-59.8244,309.5168,155
11.6,0.5214,-57.6592,319.1686,160
11.9333,0.5042,-53.1887,329.09,165
12.2667,0.4671,-49.3689,338.7839,170
12.6,0.4419,-45.0912,349.0434,175
12.9333,0.4294,-40.26,359.0757,180
13.2667,0.4048,-38.7153,369.4944,185
13.6,0.3632,-35.2594,379.9735,190
13.9333,0.3507,-30.7451,389.6992,195
14.2667,0.3304,-26.6908,400.2045,200
14.6,0.3098,-23.334,410.9078,205
14.9333,0.2738,-17.7666,421.6503,210
15.2667,0.2564,-20.4835,431.352,215
15.6,0.2506,-16.958,441.2067,220
15.9333,0.2245,-14.1516,451.5775,225
16.2667,0.2161,-18.5777,461.7226,230
16.6,0.2015,-16.6861,472.0922,235
16.9333,0.1766,-23.6866,482.5406,240
