loss,rewards,time,steps,epochs
0.0448,265.4829,1463.3454,715,48.6
0.0471,113.188,1473.2677,720,48.9333
0.0564,156.7851,1483.4946,725,49.2667
0.0477,316.3333,1493.7615,730,49.6
0.0526,538.6747,1503.6542,735,49.9333
0.0621,263.3413,1513.6458,740,50.2667
0.0536,405.8303,1524.5904,745,50.6
0.052,276.7952,1534.4417,750,50.9333
0.0473,496.7359,1544.6051,755,51.2667
0.0519,635.7355,1554.4744,760,51.6
0.0561,532.7601,1564.4622,765,51.9333
0.0549,535.9832,1574.4841,770,52.2667
0.0482,449.5139,1584.4881,775,52.6
0.049,470.0748,1595.2478,780,52.9333
0.0481,748.6317,1605.3165,785,53.2667
0.0486,625.2706,1616.0914,790,53.6
0.0577,708.7867,1626.0578,795,53.9333
0.0505,335.1695,1636.4277,800,54.2667
0.0561,519.8098,1646.6838,805,54.6
0.0488,644.4471,1656.8866,810,54.9333
0.0527,420.363,1667.3631,815,55.2667
0.0507,297.6122,1677.8728,820,55.6
0.048,602.1938,1688.7518,825,55.9333
0.0443,602.687,1699.0255,830,56.2667
0.0443,360.144,1709.7328,835,56.6
0.0485,468.1955,1720.1853,840,56.9333
0.0498,336.3249,1730.8962,845,57.2667
0.0449,587.2396,1741.4018,850,57.6
0.046,460.9586,1751.5109,855,57.9333
0.0548,778.691,1761.6201,860,58.2667
0.0487,787.6838,1773.8121,865,58.6
0.0462,494.037,1785.817,870,58.9333
0.0473,421.3382,1796.6607,875,59.2667
0.0516,903.5823,1808.088,880,59.6
0.0414,522.1068,1818.8326,885,59.9333
0.047,535.5541,1829.527,890,60.2667
0.0468,764.1904,1839.8317,895,60.6
0.0447,746.1674,1849.8219,900,60.9333
0.044,765.6039,1859.9661,905,61.2667
0.0414,481.5355,1869.9268,910,61.6
0.0494,478.1445,1879.8449,915,61.9333
0.0479,401.8082,1889.6735,920,62.2667
0.0494,549.4486,1899.645,925,62.6
0.0471,564.8672,1909.8801,930,62.9333
0.0522,419.1464,1919.8251,935,63.2667
0.0442,916.8236,1930.0769,940,63.6
0.0555,548.4802,1940.2576,945,63.9333
0.0435,559.6465,1950.1087,950,64.2667
0.047,343.7154,1960.2984,955,64.6
